0 999800 0 200 0 0
1 999746 54 0 104 96
2 999722 78 0 104 96
3 999709 91 0 104 96
4 999695 14 91 104 96
5 999630 79 91 104 96
6 999583 126 91 104 96
7 999525 58 126 150 141
8 999439 144 126 150 141
9 999376 207 126 150 141
10 999320 56 207 214 203
11 999187 189 207 214 203
12 999096 280 207 214 203
13 999016 80 280 314 310
14 998832 264 280 314 310
15 998719 377 280 314 310
16 998627 92 377 457 447
17 998429 290 377 457 447
18 998279 440 377 457 447
19 998166 113 440 653 628
20 997954 325 440 653 628
21 997778 501 440 653 628
22 997652 126 501 884 837
23 997398 380 501 884 837
24 997199 579 501 884 837
25 997037 162 579 1125 1097
26 996713 486 579 1125 1097
27 996466 733 579 1125 1097
28 996312 154 733 1414 1387
29 995977 489 733 1414 1387
30 995698 768 733 1414 1387
31 995467 231 768 1779 1755
32 995108 590 768 1779 1755
33 994819 879 768 1779 1755
34 994607 212 879 2171 2131
35 994149 670 879 2171 2131
36 993843 976 879 2171 2131
37 993607 236 976 2611 2570
38 993131 712 976 2611 2570
39 992785 1058 976 2611 2570
40 992529 256 1058 3104 3053
41 992029 756 1058 3104 3053
42 991640 1145 1058 3104 3053
43 991321 319 1145 3669 3546
44 990734 906 1145 3669 3546
45 990364 1276 1145 3669 3546
46 990051 313 1276 4235 4125
47 989414 950 1276 4235 4125
48 988992 1372 1276 4235 4125
49 988602 390 1372 4892 4744
50 987944 1048 1372 4892 4744
51 987499 1493 1372 4892 4744
52 987109 390 1493 5595 5413
53 986442 1057 1493 5595 5413
54 985948 1551 1493 5595 5413
55 985544 404 1551 6362 6139
56 984776 1172 1551 6362 6139
57 984245 1703 1551 6362 6139
58 983813 432 1703 7142 6910
59 983047 1198 1703 7142 6910
60 982399 1846 1703 7142 6910
61 981940 459 1846 8013 7742
62 981043 1356 1846 8013 7742
63 980434 1965 1846 8013 7742
64 979971 463 1965 8960 8641
65 979067 1367 1965 8960 8641
66 978384 2050 1965 8960 8641
67 977876 508 2050 9905 9661
68 976863 1521 2050 9905 9661
69 976127 2257 2050 9905 9661
70 975614 513 2257 10942 10674
71 974584 1543 2257 10942 10674
72 973822 2305 2257 10942 10674
73 973262 560 2305 12100 11773
74 972183 1639 2305 12100 11773
75 971432 2390 2305 12100 11773
76 970864 568 2390 13305 12873
77 969773 1659 2390 13305 12873
78 968983 2449 2390 13305 12873
79 968358 625 2449 14535 14033
80 967214 1769 2449 14535 14033
81 966362 2621 2449 14535 14033
82 965772 590 2621 15810 15207
83 964546 1816 2621 15810 15207
84 963652 2710 2621 15810 15207
85 962996 656 2710 17116 16522
86 961675 1977 2710 17116 16522
87 960751 2901 2710 17116 16522
88 960077 674 2901 18508 17840
89 958751 2000 2901 18508 17840
90 957745 3006 2901 18508 17840
91 957017 728 3006 20011 19238
92 955635 2110 3006 20011 19238
93 954609 3136 3006 20011 19238
94 953839 770 3136 21531 20724
95 952443 2166 3136 21531 20724
96 951430 3179 3136 21531 20724
97 950640 790 3179 23150 22241
98 949140 2290 3179 23150 22241
99 948063 3367 3179 23150 22241
100 947218 845 3367 24784 23786
101 945673 2390 3367 24784 23786
102 944574 3489 3367 24784 23786
103 943760 814 3489 26497 25440
104 942099 2475 3489 26497 25440
105 940920 3654 3489 26497 25440
106 940082 838 3654 28313 27113
107 938380 2540 3654 28313 27113
108 937132 3788 3654 28313 27113
109 936192 940 3788 30175 28905
110 934397 2735 3788 30175 28905
111 933134 3998 3788 30175 28905
112 932162 972 3998 32078 30790
113 930275 2859 3998 32078 30790
114 928963 4171 3998 32078 30790
115 927971 992 4171 34049 32817
116 925997 2966 4171 34049 32817
117 924617 4346 4171 34049 32817
118 923622 995 4346 36137 34900
119 921686 2931 4346 36137 34900
120 920278 4339 4346 36137 34900
121 919145 1133 4339 38329 37054
122 917112 3166 4339 38329 37054
123 915657 4621 4339 38329 37054
124 914633 1024 4621 40502 39220
125 912452 3205 4621 40502 39220
126 910979 4678 4621 40502 39220
127 909836 1143 4678 42891 41452
